team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playoffGame,win,shot_diff,penalty_diff,shotAttempt_diff,faceOff_diff,xGoalsFor_last3,shotsOnGoalFor_last3,xGoalsAgainst_last3,xGoalsFor_last5,shotsOnGoalFor_last5,xGoalsAgainst_last5,xGoalsFor_last10,shotsOnGoalFor_last10,xGoalsAgainst_last10,xGoalsFor_season,xshotsOnGoalFor_season,xGoalsAgainst_season,xGoalsFor_slope5,xGoalsAgainst_slope5,shotsOnGoalFor_slope5,shotsOnGoalAgainst_slope5
ANA,2022,ANA,2022020009,ANA,SEA,HOME,20221012,Team Level,all,0.3188,0.3607,0.3404,3655.0,22.921,2.356,1.766,5.093,0.704,13.068,9.014,2.298,2.259,2.203,27.0,5.0,12.0,44.0,5.0,1.0,0.0,6.0,1.0,9.0,10.0,22.0,27.0,6.0,15.0,32.0,15.0,6.0,10.0,18.0,12.0,2.0,0.513,1.347,0.496,1.0,3.0,1.0,41.735,32.0,30.74,4.0,0.397,0.148,0.148,2.605,2.505,2.456,44.26,5.035,3.188,9.554,1.398,25.612,17.213,4.88,5.265,5.1,48.0,14.0,16.0,78.0,4.0,5.0,1.0,7.0,2.0,22.0,22.0,44.0,58.0,4.0,11.0,24.0,22.0,4.0,6.0,44.0,13.0,5.0,0.992,1.802,2.241,0.0,1.0,3.0,82.147,62.0,65.426,2.0,0.71,0.974,0.974,4.771,4.975,4.912,0,1,-21.0,2.0,-34.0,8.0,,,,,,,,,,2.356,27.0,5.035,,,,
ANA,2022,ANA,2022020032,ANA,NYI,AWAY,20221015,Team Level,all,0.3821,0.456,0.4066,3600.0,26.321,2.389,1.956,6.403,0.942,14.901,10.409,2.28,2.357,2.25,23.0,14.0,20.0,57.0,1.0,5.0,0.0,7.0,1.0,16.0,7.0,22.0,36.0,5.0,10.0,28.0,14.0,2.0,9.0,26.0,10.0,1.0,0.773,1.275,0.341,0.0,1.0,0.0,54.505,37.0,36.172,5.0,0.441,0.955,0.955,1.874,1.852,1.808,36.594,3.863,2.766,8.732,1.316,22.821,14.502,3.692,3.869,3.697,38.0,16.0,14.0,68.0,7.0,4.0,1.0,9.0,2.0,13.0,19.0,31.0,47.0,5.0,10.0,37.0,18.0,6.0,19.0,40.0,11.0,3.0,1.383,1.408,1.072,5.0,0.0,2.0,71.918,54.0,55.413,8.0,0.594,1.063,1.063,3.394,3.425,3.351,0,0,-15.0,0.0,-11.0,-9.0,,,,,,,,,,2.3724999999999996,25.0,4.449,,,,
ANA,2022,ANA,2022020039,ANA,NYR,AWAY,20221017,Team Level,all,0.3032,0.3519,0.3012,3600.0,18.361,1.628,1.217,4.526,0.607,9.85,7.173,1.596,1.628,1.597,22.0,3.0,13.0,38.0,4.0,1.0,0.0,4.0,0.0,8.0,8.0,18.0,21.0,4.0,8.0,28.0,17.0,4.0,10.0,17.0,6.0,2.0,0.536,0.593,0.499,3.0,0.0,1.0,36.546,25.0,24.426,7.0,0.256,0.216,0.216,1.668,1.671,1.669,41.567,3.741,3.001,9.327,1.346,23.951,16.634,3.549,3.766,3.573,43.0,15.0,12.0,70.0,6.0,2.0,0.0,9.0,0.0,27.0,14.0,37.0,52.0,1.0,2.0,30.0,27.0,5.0,5.0,41.0,15.0,2.0,1.413,1.795,0.533,1.0,5.0,0.0,73.202,58.0,59.571,3.0,0.648,0.394,0.394,3.995,4.019,3.821,0,0,-21.0,3.0,-32.0,-2.0,2.124333333333333,24.0,4.213,,,,,,,2.124333333333333,24.0,4.213,,,,
ANA,2022,ANA,2022020048,ANA,NJD,AWAY,20221018,Team Level,all,0.2798,0.3431,0.3415,3600.0,20.078,1.506,1.401,5.192,0.739,11.126,8.037,1.481,1.636,1.609,20.0,8.0,7.0,35.0,2.0,3.0,1.0,5.0,0.0,10.0,8.0,18.0,26.0,5.0,13.0,25.0,22.0,7.0,10.0,22.0,4.0,2.0,0.559,0.459,0.488,1.0,0.0,1.0,37.046,28.0,29.663,5.0,0.315,0.506,0.506,1.315,1.41,1.401,39.352,3.876,2.517,9.045,1.432,21.437,15.693,3.739,3.729,3.598,41.0,13.0,13.0,67.0,4.0,6.0,1.0,5.0,0.0,19.0,20.0,37.0,50.0,6.0,15.0,29.0,26.0,8.0,5.0,36.0,15.0,3.0,1.289,1.884,0.703,1.0,3.0,0.0,64.305,54.0,51.975,1.0,0.536,0.909,0.909,3.502,3.381,3.319,0,0,-21.0,-1.0,-32.0,-4.0,1.841,21.666666666666668,3.8266666666666667,,,,,,,1.96975,23.0,4.12875,,,,
ANA,2022,ANA,2022020088,ANA,DET,AWAY,20221023,Team Level,all,0.3784,0.547,0.5055,3600.0,33.832,2.422,2.398,8.585,1.103,18.573,12.918,2.264,2.417,2.259,33.0,13.0,18.0,64.0,1.0,5.0,1.0,3.0,0.0,17.0,20.0,32.0,45.0,6.0,12.0,31.0,19.0,6.0,10.0,40.0,2.0,4.0,0.975,0.208,1.239,0.0,0.0,1.0,61.037,46.0,44.633,4.0,0.556,1.262,1.262,1.716,1.704,1.662,33.075,3.978,2.396,6.976,1.069,18.6,11.98,3.749,4.018,3.787,41.0,4.0,8.0,53.0,5.0,4.0,2.0,9.0,1.0,13.0,13.0,36.0,40.0,6.0,12.0,30.0,27.0,6.0,6.0,28.0,13.0,4.0,0.959,1.643,1.377,0.0,3.0,2.0,56.126,45.0,46.327,0.0,0.547,1.204,1.204,3.322,3.347,3.198,0,0,-8.0,0.0,11.0,1.0,1.852,25.0,3.865,2.0602,25.0,4.0986,,,,2.0602,25.0,4.0986,-0.0751000000000002,-0.2101000000000005,0.8999999999999979,-1.1000000000000043
ANA,2022,ANA,2022020110,ANA,TBL,HOME,20221026,Team Level,all,0.3268,0.4352,0.4,3600.0,20.659,1.602,1.304,4.802,0.63,11.205,8.457,1.561,1.545,1.505,21.0,7.0,19.0,47.0,2.0,1.0,0.0,9.0,1.0,8.0,7.0,19.0,26.0,3.0,6.0,35.0,15.0,5.0,4.0,21.0,6.0,1.0,0.694,0.662,0.246,1.0,1.0,0.0,45.743,28.0,27.22,2.0,0.287,0.246,0.246,1.643,1.588,1.569,29.467,3.3,1.913,6.446,0.935,16.964,12.442,3.181,3.451,3.322,30.0,12.0,19.0,61.0,4.0,3.0,0.0,10.0,2.0,7.0,16.0,26.0,38.0,2.0,4.0,29.0,15.0,5.0,5.0,32.0,6.0,4.0,0.95,0.825,1.526,2.0,0.0,2.0,64.226,42.0,44.016,3.0,0.416,0.614,0.614,3.102,3.224,3.189,0,0,-9.0,1.0,-14.0,6.0,1.8433333333333335,24.666666666666668,3.718,1.9094000000000002,23.8,3.7516,,,,1.9838333333333333,24.333333333333332,3.9655,-0.07800000000000008,-0.08890000000000052,0.6999999999999984,-1.8000000000000027
ANA,2022,ANA,2022020121,ANA,VGK,AWAY,20221028,Team Level,all,0.4351,0.5385,0.5135,3600.0,27.101,1.675,1.687,6.486,0.914,15.254,11.984,1.671,1.659,1.654,29.0,9.0,18.0,56.0,0.0,1.0,0.0,11.0,2.0,13.0,11.0,29.0,38.0,3.0,9.0,29.0,26.0,5.0,7.0,33.0,5.0,0.0,0.909,0.766,0.0,0.0,0.0,0.0,53.812,38.0,37.14,2.0,0.355,0.06,0.06,1.971,1.954,1.949,24.627,2.175,1.764,5.19,0.812,14.885,11.174,2.116,2.171,2.114,22.0,14.0,12.0,48.0,4.0,1.0,0.0,4.0,5.0,8.0,14.0,18.0,32.0,3.0,9.0,32.0,20.0,7.0,7.0,26.0,10.0,0.0,1.009,1.166,0.0,1.0,3.0,0.0,50.138,36.0,36.611,2.0,0.373,0.199,0.199,2.349,2.353,2.322,0,0,7.0,0.0,8.0,-3.0,1.8996666666666668,27.666666666666668,3.151,1.7666,25.0,3.414,,,,1.9397142857142857,25.0,3.7097142857142855,0.01899999999999994,-0.3708,1.499999999999999,-5.300000000000003
ANA,2022,ANA,2022020142,ANA,TOR,HOME,20221030,Team Level,all,0.4249,0.525,0.5152,3735.0,36.829,3.131,2.504,7.953,1.214,20.414,15.784,3.032,2.971,2.874,39.0,12.0,12.0,63.0,4.0,3.0,0.0,9.0,3.0,13.0,19.0,35.0,47.0,4.0,6.0,29.0,18.0,7.0,7.0,36.0,13.0,2.0,1.095,1.497,0.539,1.0,2.0,1.0,59.023,51.0,47.811,3.0,0.535,0.571,0.571,3.096,2.926,2.874,36.689,4.238,2.943,7.831,1.505,17.685,13.798,4.003,4.455,4.207,36.0,12.0,9.0,57.0,3.0,5.0,0.0,6.0,3.0,11.0,20.0,33.0,45.0,3.0,6.0,28.0,9.0,8.0,6.0,28.0,17.0,3.0,0.905,2.178,1.156,1.0,1.0,1.0,60.99,48.0,51.1,2.0,0.694,0.716,0.716,4.216,4.44,4.332,0,1,3.0,1.0,6.0,1.0,2.1359999999999997,29.666666666666668,3.237666666666667,2.0672,28.4,3.5134,,,,2.088625,26.75,3.77575,0.2502999999999997,-0.10790000000000013,3.399999999999998,-2.900000000000001
ANA,2022,ANA,2022020171,ANA,VAN,AWAY,20221103,Team Level,all,0.3291,0.4324,0.3804,3600.0,25.689,2.218,1.739,5.806,0.798,13.893,10.546,2.195,2.235,2.212,31.0,4.0,13.0,48.0,5.0,0.0,0.0,5.0,0.0,13.0,12.0,26.0,30.0,3.0,9.0,23.0,13.0,5.0,8.0,30.0,2.0,3.0,0.861,0.195,1.162,2.0,0.0,3.0,47.184,35.0,34.672,7.0,0.409,0.0,0.0,2.627,2.649,2.622,38.928,4.522,2.882,8.576,1.342,23.649,16.03,4.35,4.51,4.338,47.0,10.0,6.0,63.0,8.0,3.0,1.0,10.0,1.0,12.0,23.0,39.0,49.0,4.0,11.0,35.0,20.0,5.0,12.0,36.0,16.0,5.0,1.099,1.798,1.624,1.0,5.0,2.0,64.513,57.0,58.02,7.0,0.612,0.702,0.702,4.432,4.415,4.37,0,0,-16.0,-1.0,-15.0,-12.0,2.341333333333333,33.0,3.645,2.2096,30.6,3.6426000000000003,,,,2.1029999999999998,27.22222222222222,3.8586666666666667,0.11209999999999967,0.20259999999999992,1.3999999999999961,1.7999999999999992
ANA,2022,ANA,2022020192,ANA,FLA,HOME,20221106,Team Level,all,0.2911,0.3893,0.434,3600.0,32.567,2.442,2.114,7.683,1.131,19.047,13.583,2.282,2.324,2.175,35.0,11.0,12.0,58.0,3.0,4.0,1.0,7.0,0.0,17.0,15.0,32.0,43.0,6.0,12.0,26.0,19.0,4.0,13.0,37.0,7.0,2.0,1.062,0.798,0.582,3.0,0.0,0.0,54.891,46.0,43.579,8.0,0.45,0.879,0.916,1.976,1.887,1.862,42.853,5.947,3.06,10.129,1.542,22.709,16.613,5.232,6.26,5.482,48.0,12.0,31.0,91.0,5.0,7.0,2.0,10.0,1.0,23.0,14.0,43.0,55.0,4.0,6.0,39.0,14.0,7.0,9.0,46.0,4.0,10.0,1.447,0.487,4.013,1.0,0.0,4.0,96.8,60.0,63.615,5.0,0.695,2.296,2.296,4.346,4.523,4.452,0,0,-13.0,2.0,-33.0,-13.0,2.597,35.0,4.902333333333334,2.2136,31.0,4.0364,2.1369,28.0,4.0675,2.1369,28.0,4.0675,0.2223,0.7640999999999997,2.999999999999998,6.099999999999997
ANA,2022,ANA,2022020210,ANA,MIN,HOME,20221109,Team Level,all,0.3826,0.4825,0.4831,3600.0,31.27,2.862,2.057,6.741,0.992,17.471,12.878,2.681,2.739,2.565,32.0,11.0,12.0,55.0,1.0,1.0,0.0,5.0,0.0,15.0,21.0,31.0,42.0,12.0,27.0,21.0,18.0,6.0,9.0,30.0,10.0,3.0,0.929,1.006,0.927,0.0,1.0,0.0,53.106,43.0,41.473,4.0,0.468,0.502,0.502,2.827,2.747,2.599,33.204,4.619,2.544,6.927,1.112,17.652,13.146,4.512,4.809,4.694,39.0,7.0,13.0,59.0,4.0,6.0,1.0,3.0,0.0,12.0,21.0,35.0,42.0,10.0,23.0,21.0,16.0,4.0,8.0,27.0,14.0,5.0,0.593,1.773,2.253,0.0,1.0,3.0,62.247,46.0,48.135,3.0,0.6,0.916,0.916,4.303,4.462,4.419,0,0,-7.0,2.0,-4.0,0.0,2.5073333333333334,32.666666666666664,5.029333333333334,2.4656,33.2,4.300199999999999,2.1875,28.5,4.0259,2.202818181818182,28.363636363636363,4.117636363636364,0.16849999999999982,0.6596999999999997,0.1999999999999974,4.599999999999998
ANA,2022,ANA,2022020234,ANA,CHI,HOME,20221112,Team Level,all,0.5071,0.6239,0.6092,3600.0,39.152,3.119,2.497,8.677,1.205,21.096,16.406,3.021,3.071,2.974,41.0,12.0,15.0,68.0,2.0,1.0,0.0,17.0,2.0,17.0,14.0,39.0,51.0,3.0,6.0,23.0,18.0,5.0,12.0,36.0,15.0,2.0,0.95,1.669,0.5,1.0,1.0,0.0,68.214,53.0,53.578,6.0,0.545,0.245,0.245,3.418,3.363,3.249,24.87,3.032,1.498,5.285,0.777,12.405,11.004,2.988,3.104,3.058,22.0,12.0,7.0,41.0,3.0,3.0,1.0,4.0,1.0,7.0,16.0,19.0,31.0,3.0,8.0,39.0,30.0,4.0,12.0,22.0,6.0,6.0,0.541,0.664,1.827,1.0,1.0,1.0,41.596,34.0,34.455,8.0,0.316,0.522,0.522,2.826,2.883,2.866,0,0,19.0,0.0,27.0,-16.0,2.8076666666666665,36.0,4.532666666666667,2.7544,35.6,4.4716000000000005,2.2605,30.3,3.9427999999999996,2.279166666666667,29.416666666666668,4.027166666666667,0.06199999999999977,-0.23150000000000068,0.4999999999999953,-3.6000000000000045
ANA,2022,ANA,2022020255,ANA,DET,HOME,20221115,Team Level,all,0.4743,0.5481,0.5158,3850.0,34.333,2.836,2.452,7.18,1.148,20.724,14.66,2.735,2.746,2.647,30.0,19.0,25.0,74.0,3.0,3.0,1.0,5.0,2.0,17.0,19.0,27.0,46.0,4.0,8.0,26.0,17.0,4.0,8.0,37.0,11.0,1.0,1.273,1.356,0.208,1.0,1.0,1.0,71.26,49.0,47.254,5.0,0.54,0.429,0.429,2.947,2.847,2.798,34.017,3.143,2.202,7.777,1.133,17.884,13.861,3.095,3.281,3.23,33.0,13.0,15.0,61.0,2.0,2.0,0.0,8.0,1.0,13.0,20.0,31.0,44.0,5.0,10.0,32.0,19.0,4.0,10.0,35.0,9.0,2.0,1.041,1.036,1.066,1.0,0.0,1.0,63.906,46.0,48.225,2.0,0.521,0.35,0.35,3.313,3.446,3.406,0,1,-3.0,-1.0,13.0,-6.0,2.939,34.333333333333336,3.5980000000000003,2.6954000000000002,33.8,4.252599999999999,2.3813,31.1,3.883,2.322,29.46153846153846,3.9591538461538462,0.19129999999999983,-0.5673000000000006,0.399999999999995,-5.400000000000009
ANA,2022,ANA,2022020266,ANA,WPG,AWAY,20221117,Team Level,all,0.3965,0.4595,0.4762,3600.0,30.34,2.585,2.083,6.968,0.899,15.3,12.164,2.518,2.727,2.655,31.0,9.0,11.0,51.0,2.0,2.0,0.0,1.0,0.0,20.0,15.0,29.0,38.0,4.0,11.0,22.0,9.0,6.0,7.0,29.0,9.0,2.0,0.737,1.308,0.54,2.0,0.0,0.0,53.409,40.0,41.915,7.0,0.458,0.358,0.358,2.686,2.814,2.74,32.69,3.934,2.605,6.95,1.005,18.04,11.465,3.82,3.786,3.674,32.0,12.0,16.0,60.0,3.0,4.0,1.0,2.0,0.0,22.0,13.0,29.0,41.0,3.0,9.0,31.0,17.0,6.0,12.0,26.0,13.0,5.0,1.027,1.652,1.255,1.0,2.0,0.0,57.682,44.0,42.495,9.0,0.571,0.883,0.883,3.622,3.49,3.413,0,0,-1.0,1.0,-9.0,-9.0,2.8466666666666662,34.0,3.369666666666667,2.7688,33.8,4.135,2.4892000000000003,32.2,3.8888,2.3407857142857145,29.571428571428573,3.9573571428571426,0.025999999999999728,-0.5502000000000004,-1.0000000000000036,-3.8000000000000065
ANA,2022,ANA,2022020282,ANA,STL,AWAY,20221119,Team Level,all,0.5482,0.5727,0.5375,3600.0,31.006,3.153,2.161,7.123,1.058,16.744,12.763,3.13,3.122,3.099,32.0,11.0,20.0,63.0,2.0,2.0,0.0,7.0,0.0,19.0,13.0,30.0,41.0,4.0,11.0,30.0,14.0,14.0,2.0,32.0,9.0,2.0,0.704,1.146,1.302,0.0,0.0,2.0,58.882,43.0,41.868,1.0,0.499,0.046,0.046,3.605,3.569,3.543,26.422,2.599,1.964,5.987,0.851,15.026,10.573,2.477,2.62,2.498,34.0,3.0,10.0,47.0,6.0,4.0,0.0,7.0,1.0,9.0,10.0,28.0,31.0,6.0,15.0,28.0,19.0,8.0,12.0,21.0,16.0,0.0,0.794,1.805,0.0,2.0,4.0,0.0,49.746,37.0,37.771,6.0,0.421,0.388,0.388,2.631,2.653,2.555,0,0,-2.0,-2.0,16.0,2.0,2.858,31.0,3.2253333333333334,2.911,33.2,3.4654,2.5623,32.1,3.7509,2.3949333333333334,29.733333333333334,3.8668,0.004799999999999935,-0.3138000000000001,-1.0000000000000009,-2.4452279091700017e-15
ANA,2022,ANA,2022020296,ANA,STL,AWAY,20221121,Team Level,all,0.4533,0.4848,0.5,3600.0,26.914,3.408,2.172,5.528,0.875,14.831,9.185,2.745,3.449,2.784,28.0,8.0,12.0,48.0,1.0,6.0,1.0,7.0,2.0,11.0,9.0,27.0,35.0,3.0,6.0,19.0,13.0,9.0,6.0,21.0,11.0,4.0,0.606,1.366,1.436,1.0,0.0,0.0,47.905,36.0,35.764,4.0,0.513,1.154,1.154,2.766,2.803,2.28,27.247,4.11,2.126,5.82,0.873,13.674,9.398,3.915,4.03,3.839,27.0,9.0,15.0,51.0,3.0,5.0,0.0,5.0,0.0,12.0,11.0,24.0,33.0,2.0,4.0,31.0,23.0,9.0,11.0,20.0,10.0,6.0,0.722,1.276,2.111,0.0,2.0,1.0,50.442,36.0,35.78,7.0,0.461,1.117,1.117,3.454,3.384,3.32,0,0,1.0,1.0,-3.0,-12.0,3.048666666666666,30.333333333333332,3.5476666666666667,3.0202,32.4,3.3636000000000004,2.7429,32.8,3.8319,2.45825,29.625,3.882,0.08949999999999941,0.1611999999999999,-2.400000000000004,1.1000000000000012
ANA,2022,ANA,2022020314,ANA,NYR,HOME,20221123,Team Level,all,0.4812,0.3651,0.375,3600.0,26.689,3.562,1.992,6.025,0.859,13.803,9.76,3.422,3.502,3.366,22.0,14.0,10.0,46.0,3.0,4.0,1.0,2.0,0.0,15.0,12.0,19.0,33.0,4.0,8.0,24.0,18.0,7.0,6.0,21.0,11.0,4.0,0.688,1.511,1.363,2.0,1.0,0.0,46.587,36.0,36.343,2.0,0.431,0.664,0.664,3.329,3.276,3.223,43.757,3.841,3.16,9.549,1.483,24.184,17.783,3.703,3.89,3.75,43.0,17.0,20.0,80.0,2.0,6.0,0.0,7.0,0.0,21.0,24.0,41.0,58.0,3.0,6.0,22.0,21.0,9.0,8.0,43.0,13.0,4.0,1.201,1.648,0.992,1.0,1.0,0.0,79.381,60.0,59.432,3.0,0.696,1.027,1.027,3.511,3.564,3.518,0,1,-21.0,1.0,-34.0,2.0,3.374333333333334,27.333333333333332,3.516666666666667,3.1088,28.6,3.5254000000000003,2.9316,32.1,3.998500000000001,2.5231764705882354,29.176470588235293,3.879588235294118,0.22749999999999976,0.1571999999999996,-1.9000000000000066,1.499999999999998
ANA,2022,ANA,2022020323,ANA,OTT,HOME,20221125,Team Level,all,0.4545,0.4724,0.4624,3600.0,31.906,3.275,2.445,6.456,0.987,16.511,13.327,3.085,3.137,2.952,32.0,11.0,17.0,60.0,1.0,4.0,1.0,4.0,0.0,21.0,13.0,31.0,42.0,8.0,19.0,31.0,15.0,4.0,8.0,24.0,16.0,3.0,0.786,1.755,0.733,0.0,0.0,1.0,56.971,43.0,41.169,3.0,0.552,0.826,0.826,3.001,2.867,2.78,35.709,3.931,2.686,7.712,1.227,20.52,13.924,3.884,4.107,4.055,33.0,17.0,17.0,67.0,5.0,6.0,0.0,5.0,2.0,16.0,16.0,28.0,45.0,6.0,15.0,40.0,11.0,4.0,12.0,40.0,6.0,4.0,0.911,0.852,2.168,1.0,1.0,3.0,73.423,50.0,53.95,9.0,0.634,0.569,0.569,3.997,4.151,4.128,0,0,-1.0,2.0,-7.0,-9.0,3.4149999999999996,27.333333333333332,3.960666666666667,3.1966,29.0,3.683,2.946,31.4,3.9677999999999995,2.5649444444444445,29.333333333333332,3.8824444444444444,0.17889999999999973,0.1235999999999996,-0.8000000000000055,1.0999999999999963
ANA,2022,ANA,2022020343,ANA,SEA,HOME,20221127,Team Level,all,0.5608,0.5825,0.575,3600.0,32.558,3.163,2.49,6.862,1.074,19.051,13.361,3.033,3.027,2.901,29.0,17.0,14.0,60.0,4.0,3.0,1.0,5.0,1.0,16.0,17.0,25.0,42.0,2.0,4.0,34.0,18.0,7.0,10.0,29.0,15.0,2.0,0.799,1.924,0.439,0.0,3.0,1.0,56.968,46.0,43.624,6.0,0.555,0.245,0.245,3.473,3.333,3.219,23.406,2.477,1.709,5.821,0.91,13.101,9.982,2.464,2.635,2.622,25.0,9.0,9.0,43.0,5.0,2.0,1.0,7.0,1.0,7.0,12.0,20.0,29.0,4.0,8.0,24.0,21.0,8.0,9.0,28.0,3.0,3.0,0.848,0.318,1.31,0.0,3.0,2.0,46.812,34.0,36.996,3.0,0.368,0.894,0.894,1.951,2.137,2.125,0,0,4.0,-2.0,17.0,10.0,3.3333333333333335,27.666666666666668,3.4163333333333337,3.3122,28.6,3.3916000000000004,3.0405,31.2,3.7633,2.596421052631579,29.31578947368421,3.8084736842105267,-0.011299999999999887,-0.042300000000000275,-0.20000000000000237,-1.2000000000000037
ANA,2022,ANA,2022020356,ANA,NSH,AWAY,20221129,Team Level,all,0.4028,0.4351,0.4255,3830.0,30.264,2.691,2.014,6.322,0.861,15.649,12.464,2.653,2.771,2.732,35.0,5.0,17.0,57.0,1.0,1.0,0.0,10.0,1.0,9.0,18.0,34.0,39.0,2.0,4.0,23.0,15.0,10.0,7.0,25.0,12.0,3.0,0.577,1.337,0.777,1.0,0.0,0.0,57.417,40.0,40.034,4.0,0.419,0.142,0.142,2.968,3.059,3.022,39.254,3.989,2.857,8.124,1.149,22.185,15.696,3.815,3.888,3.715,41.0,13.0,20.0,74.0,2.0,2.0,0.0,9.0,2.0,17.0,22.0,39.0,52.0,0.0,0.0,32.0,21.0,11.0,9.0,34.0,16.0,4.0,1.115,1.827,1.048,0.0,1.0,1.0,73.256,54.0,53.589,3.0,0.601,0.563,0.563,4.027,3.909,3.803,0,0,-6.0,2.0,-17.0,-9.0,3.0429999999999997,32.0,3.465666666666667,3.2198,29.2,3.6696,3.0654,31.2,3.5675,2.6011499999999996,29.6,3.8175,-0.1833000000000002,-0.16060000000000035,2.099999999999999,0.9999999999999992
ANA,2022,ANA,2022020371,ANA,DAL,AWAY,20221201,Team Level,all,0.271,0.4186,0.4239,3600.0,28.013,1.43,2.128,6.797,0.961,16.299,11.383,1.377,1.412,1.359,31.0,8.0,15.0,54.0,0.0,5.0,0.0,1.0,1.0,16.0,16.0,31.0,39.0,5.0,11.0,19.0,25.0,9.0,6.0,31.0,8.0,0.0,0.637,0.793,0.0,0.0,0.0,0.0,51.678,39.0,37.932,5.0,0.464,0.349,0.349,1.546,1.531,1.514,38.642,3.847,2.788,9.697,1.398,20.489,14.779,3.662,3.893,3.707,41.0,12.0,22.0,75.0,5.0,7.0,1.0,1.0,2.0,19.0,19.0,36.0,48.0,4.0,11.0,34.0,15.0,12.0,5.0,36.0,14.0,3.0,1.213,1.745,0.889,3.0,1.0,1.0,79.888,53.0,54.811,1.0,0.597,1.333,1.375,3.069,3.104,3.027,0,0,-10.0,1.0,-21.0,-15.0,2.4279999999999995,31.666666666666668,3.4376666666666664,2.8242,29.8,3.617,2.9222,31.1,3.4903,2.545380952380952,29.666666666666668,3.8189047619047622,-0.48480000000000045,0.0069999999999994095,2.0999999999999965,0.3999999999999947
ANA,2022,ANA,2022020392,ANA,WPG,AWAY,20221204,Team Level,all,0.3683,0.4462,0.4059,3600.0,28.661,2.449,1.816,6.385,1.004,16.271,13.075,2.36,2.627,2.53,30.0,11.0,17.0,58.0,2.0,4.0,1.0,2.0,0.0,13.0,20.0,28.0,39.0,4.0,8.0,27.0,12.0,3.0,9.0,30.0,7.0,4.0,0.57,0.82,1.058,0.0,0.0,2.0,60.092,41.0,42.493,8.0,0.397,0.808,0.808,2.038,2.159,2.136,41.306,4.201,2.992,9.255,1.449,24.283,17.82,3.949,4.018,3.781,40.0,20.0,12.0,72.0,5.0,4.0,0.0,9.0,2.0,19.0,21.0,35.0,55.0,3.0,6.0,30.0,18.0,6.0,13.0,42.0,13.0,5.0,1.389,1.409,1.402,3.0,1.0,1.0,69.587,60.0,58.01,12.0,0.642,1.008,1.008,3.834,3.68,3.566,0,0,-10.0,1.0,-14.0,-3.0,2.19,32.0,4.012333333333333,2.6016,31.4,3.689,2.8552,30.0,3.6072,2.541,29.681818181818183,3.836272727272727,-0.3385000000000005,0.19099999999999956,-0.20000000000000528,2.999999999999999
